City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Black River,18.03,-77.85,80.6,78,75,2.24,JM,1603331912
Boyuibe,-20.42,-63.28,70.12,73,69,1.68,BO,1603331912
Qaanaaq,77.48,-69.36,20.17,85,100,6.58,GL,1603331912
Laguna,38.42,-121.42,80.6,28,1,1.23,US,1603331910
Ponta do Sol,32.67,-17.1,64.4,59,20,13.87,PT,1603331913
Ancud,-41.87,-73.82,46.0,87,14,4.7,CL,1603331913
Vardø,70.37,31.11,33.33,90,60,8.68,NO,1603331913
Ilo,-17.64,-71.34,63.25,77,93,4.43,PE,1603331913
Mutoko,-17.4,32.23,65.7,60,60,7.54,ZW,1603331914
Arraial do Cabo,-22.97,-42.03,72.75,88,31,13.15,BR,1603331914
Clyde River,70.47,-68.59,15.8,78,1,5.82,CA,1603331264
Kabo,7.7,18.63,72.39,84,98,2.93,CF,1603331914
Bengkulu,-3.8,102.27,78.89,80,100,4.34,ID,1603331914
Jiwani,25.05,61.74,77.47,22,0,14.38,PK,1603331915
Saint-Pierre,-21.34,55.48,69.8,64,56,5.82,RE,1603331915
Sandwick,60.0,-1.25,46.4,70,99,20.8,GB,1603331915
Atkarsk,51.87,45.01,32.02,99,91,7.09,RU,1603331915
Kangaatsiaq,68.31,-53.46,32.94,89,99,9.8,GL,1603331915
Khakhea,-24.69,23.49,71.46,49,0,19.62,BW,1603331916
Comodoro Rivadavia,-45.87,-67.5,50.0,81,0,20.09,AR,1603331916
Manyana,-23.4,21.72,71.55,46,62,15.43,BW,1603331916
Kasungu,-13.03,33.48,71.19,47,15,9.82,MW,1603331916
Hithadhoo,-0.6,73.08,82.6,74,12,12.88,MV,1603331916
Ziniaré,12.58,-1.3,77.0,94,74,2.24,BF,1603331916
Mehamn,71.04,27.85,29.59,94,0,7.02,NO,1603331917
Cidreira,-30.18,-50.21,65.59,89,100,17.85,BR,1603331903
Ascension,30.22,-90.9,77.0,78,40,5.37,US,1603331917
Saint-Joseph,-21.37,55.62,69.8,64,61,5.82,RE,1603331917
Pitimbu,-7.47,-34.81,77.0,94,75,5.82,BR,1603331804
Quelimane,-17.88,36.89,71.6,88,0,2.24,MZ,1603331918
Gijón,43.54,-5.66,53.6,93,0,2.24,ES,1603331918
Jutaí,-5.18,-68.9,73.45,94,100,0.74,BR,1603331918
Tabuk,17.42,121.44,85.84,68,100,9.17,PH,1603331918
Władysławowo,54.79,18.4,54.0,76,4,12.75,PL,1603331919
Matagami,49.75,-77.63,33.8,100,90,8.05,CA,1603331919
Mochalishche,56.33,48.35,32.0,96,40,8.95,RU,1603331919
Nuuk,64.18,-51.72,30.2,86,82,10.29,GL,1603331827
Faya,18.39,42.45,59.0,19,76,3.36,SA,1603331919
Barentu,15.11,37.59,72.34,50,0,4.7,ER,1603331920
Hong Kong,22.29,114.16,77.0,64,36,1.01,HK,1603331699
Thinadhoo,0.53,72.93,82.85,75,57,14.41,MV,1603331920
Rundu,-17.93,19.77,70.74,21,0,8.23,NA,1603331920
Olafsvik,64.89,-23.71,39.81,83,100,26.33,IS,1603331921
Dingle,11.0,122.67,85.69,75,51,13.11,PH,1603331347
Copiapó,-27.37,-70.33,53.6,81,0,11.41,CL,1603331768
Baharly,38.44,57.43,53.98,42,50,2.01,TM,1603331921
Kargopol',61.51,38.95,26.83,98,89,1.61,RU,1603331922
Korla,41.76,86.15,48.99,90,0,1.01,CN,1603331922
Vytegra,61.01,36.45,30.29,96,100,7.43,RU,1603331922
Mount Darwin,-16.77,31.58,69.22,63,5,5.53,ZW,1603331922
Khāsh,28.22,61.22,46.76,38,0,6.8,IR,1603331922
Raja,8.46,25.68,70.52,90,100,4.09,SS,1603331923
Mīnāb,27.15,57.08,57.2,62,0,4.7,IR,1603331923
Gemona,46.28,13.14,53.01,95,91,1.01,IT,1603331944
Matara,5.95,80.54,80.73,81,3,11.81,LK,1603331944
Jamestown,42.1,-79.24,54.0,93,75,5.82,US,1603331944
Lagos,6.58,3.75,78.8,94,20,3.36,NG,1603331717
Bafoulabé,13.81,-10.83,77.97,31,8,2.06,ML,1603331945
Necochea,-38.55,-58.74,46.99,73,51,8.01,AR,1603331945
Kavaratti,10.57,72.64,81.1,77,100,15.08,IN,1603331945
Lima,-12.04,-77.03,62.6,82,69,14.99,PE,1603331776
Morondava,-20.28,44.28,72.32,87,0,11.34,MG,1603331946
Dragalina,44.43,27.32,50.0,67,2,7.34,RO,1603331946
Sinnamary,5.38,-52.95,79.75,83,0,9.75,GF,1603331946
San Rafael,-34.62,-68.33,54.66,69,8,5.84,AR,1603331946
Tabas,33.6,56.92,53.06,36,0,1.34,IR,1603331947
Anloga,5.79,0.9,78.8,88,40,4.7,GH,1603331914
Český Dub,50.66,15.0,51.01,95,95,8.01,CZ,1603331968
Chateaubelair,13.28,-61.25,84.2,74,40,13.87,VC,1603331968
Tashla,51.77,52.74,29.35,94,0,8.66,RU,1603331968
Ngorongoro,-3.24,35.49,51.26,93,88,6.31,TZ,1603331968
Ferrol,43.48,-8.24,57.0,87,32,8.05,ES,1603331969
Argostoli,38.18,20.49,65.26,61,0,5.26,GR,1603331969
Kapoeta,4.77,33.59,75.43,73,45,4.27,SS,1603331969
Baft,29.23,56.61,46.27,32,0,3.13,IR,1603331969
Mar del Plata,-38.0,-57.56,54.0,71,11,17.22,AR,1603331735
Walvis Bay,-22.96,14.51,60.8,77,7,11.41,NA,1603331235
Rocky Mount,35.94,-77.79,66.2,93,1,5.44,US,1603331970
Coruripe,-10.13,-36.18,75.63,86,62,8.05,BR,1603331970
Taoudenni,22.68,-3.98,79.54,17,42,6.6,ML,1603331939
Souillac,-20.52,57.52,73.4,78,40,10.29,MU,1603331970
Wilmington,34.23,-77.94,73.0,88,1,3.36,US,1603331224
Kikwit,-5.04,18.82,69.46,96,100,0.6,CD,1603331971
Bathsheba,13.22,-59.52,82.4,78,40,12.75,BB,1603331892
Mozarlândia,-14.74,-50.57,73.69,86,100,4.56,BR,1603331971
Kommunar,59.62,30.39,39.2,93,90,8.95,RU,1603331972
Kupino,54.37,77.3,41.47,74,100,17.58,RU,1603331993
Kamenka,51.32,42.77,35.01,94,100,5.37,RU,1603331993
Brae,60.4,-1.35,46.4,70,100,20.8,GB,1603331993
Kendallville,41.44,-85.27,52.0,87,90,6.93,US,1603331994
Krasnoarmeysk,51.02,45.7,36.0,68,86,4.0,RU,1603331994
Ustka,54.58,16.86,56.79,73,0,23.24,PL,1603331809
Doha,25.29,51.53,77.0,73,0,5.82,QA,1603331994
Perevolotskiy,51.88,54.19,28.29,94,0,9.84,RU,1603331994
Lafia,8.48,8.52,74.79,86,100,1.45,NG,1603331994
Antofagasta,-23.65,-70.4,59.0,82,90,12.75,CL,1603331995
Manhuaçu,-20.26,-42.03,66.58,91,85,1.95,BR,1603331995
Pangody,65.85,74.49,16.83,97,93,8.46,RU,1603331995
Port Elizabeth,-33.92,25.57,55.4,93,0,3.36,ZA,1603331995
Mahébourg,-20.41,57.7,73.4,78,40,10.29,MU,1603331995
Divičani,44.37,17.33,41.0,93,100,4.7,BA,1603331996
Plouzané,48.38,-4.62,55.4,100,90,8.05,FR,1603331996
Marrakesh,31.63,-8.01,62.6,82,75,2.24,MA,1603331789
Mossamedes,-15.2,12.15,69.78,82,48,2.93,AO,1603331996
Raudeberg,61.99,5.14,44.01,83,76,20.87,NO,1603331996
Berlevåg,70.86,29.09,30.43,94,13,8.68,NO,1603331934
Mahajanga,-15.72,46.32,75.2,47,20,8.05,MG,1603331997
Adrar,20.5,-10.07,83.25,19,3,4.85,MR,1603331997
Bariloche,-41.15,-71.31,51.8,66,40,8.05,AR,1603331997
Tolú Viejo,9.45,-75.44,76.6,87,34,5.39,CO,1603331997
Kayerkan,69.35,87.76,12.2,92,40,13.42,RU,1603331998
Sovetskiy,61.36,63.58,27.77,97,100,3.83,RU,1603331998
Kamakwie,9.5,-12.23,73.49,96,100,1.88,SL,1603331998
Skibbereen,51.55,-9.27,41.0,93,20,8.05,IE,1603331998
Abu Dhabi,24.47,54.37,75.2,78,0,2.24,AE,1603331920
Čadca,49.44,18.79,44.01,100,20,1.12,SK,1603331999
Mocuba,-16.84,36.99,69.04,97,4,3.42,MZ,1603331999
Santo Antônio do Içá,-3.1,-67.94,73.69,96,68,1.79,BR,1603331991
Birjand,32.87,59.22,37.4,15,0,9.17,IR,1603331999
Giohar,2.78,45.5,77.13,85,5,7.31,SO,1603332000
Meulaboh,4.14,96.13,82.08,72,100,3.56,ID,1603331926
Wana,32.3,69.57,52.95,32,0,1.45,PK,1603332000
Santarém,-2.44,-54.71,82.4,78,20,5.82,BR,1603332000
Kontagora,10.4,5.47,73.99,61,0,0.43,NG,1603332001
Kinango,-4.14,39.32,70.5,97,73,3.8,KE,1603332001
Grand Gaube,-20.01,57.66,71.01,84,51,1.01,MU,1603332001
Vallenar,-28.57,-70.76,58.57,56,0,1.74,CL,1603332002
Kemijärvi,66.71,27.43,29.37,98,100,11.16,FI,1603332003
Tselinnoye,53.08,85.67,43.79,60,92,11.63,RU,1603332007
Camaná,-16.62,-72.71,62.53,77,63,2.28,PE,1603332007
Kalmunai,7.42,81.82,82.17,68,0,3.62,LK,1603332008
Andijan,40.78,72.34,53.6,40,19,8.95,UZ,1603332008
Santa Vitória,-18.84,-50.12,75.92,74,52,4.65,BR,1603332008
Dinguiraye,11.3,-10.72,72.61,74,72,2.33,GN,1603332009
Sinjār,36.32,41.88,69.76,25,0,7.52,IQ,1603332010
Nova Olímpia,-14.8,-57.29,77.85,63,6,1.32,BR,1603332011
Buriti Alegre,-18.14,-49.04,69.19,92,78,5.12,BR,1603332012
Vila Franca do Campo,37.72,-25.43,60.8,72,75,6.93,PT,1603332012
Santiago del Estero,-27.8,-64.26,70.32,63,19,10.13,AR,1603331858
Sabzawār,36.21,57.68,50.11,70,0,6.85,IR,1603332034
Maunabo,18.01,-65.9,79.0,100,52,2.75,PR,1603332034
Lahore,31.55,74.34,59.0,82,0,4.5,PK,1603332035
San Cristobal,7.77,-72.22,66.36,88,51,2.51,VE,1603332035
Talnakh,69.49,88.4,12.2,92,40,13.42,RU,1603332036
George Town,5.41,100.34,80.6,74,40,2.24,MY,1603332011
Veseloyarsk,51.28,81.11,48.78,48,100,17.67,RU,1603332036
Nzega,-2.48,29.56,57.42,89,67,3.58,RW,1603332037
Rochegda,62.8,43.25,27.46,98,82,3.29,RU,1603332037
Punta Alta,-38.88,-62.07,56.95,56,89,14.25,AR,1603332037
Bhachāu,23.28,70.35,79.99,58,56,7.54,IN,1603332038
Kruisfontein,-34.0,24.73,54.12,72,0,4.79,ZA,1603332038
Mâncio Lima,-7.61,-72.9,72.72,97,97,1.23,BR,1603332038
Bantry,51.68,-9.45,41.0,93,20,8.05,IE,1603332039
Grindavik,63.84,-22.43,41.0,93,90,24.16,IS,1603331953
Roald,62.58,6.13,42.8,75,93,21.92,NO,1603332039
Mt. Pleasant,32.79,-79.86,73.99,100,1,9.78,US,1603332039
Shakawe,-18.37,21.85,70.47,24,0,5.03,BW,1603332040
Qom,34.64,50.88,50.27,73,0,3.89,IR,1603332040
Linz,48.31,14.29,44.01,100,75,4.7,AT,1603332040
Santa Isabel Rio Negro,-0.41,-65.02,74.52,96,17,1.16,BR,1603332041
Sebastian,35.17,-94.27,75.2,64,1,5.82,US,1603332041
Sarakhs,36.54,61.16,57.2,58,66,2.24,IR,1603332042
Leer,8.3,30.14,72.48,90,47,1.5,SS,1603332042
Noyabrsk,63.2,75.45,24.66,96,100,5.08,RU,1603332043
Havre-St-Pierre,50.23,-63.6,35.6,100,90,11.41,CA,1603332043
São João da Barra,-21.64,-41.05,73.45,87,26,10.2,BR,1603331888
Praia da Vitória,38.73,-27.07,62.6,63,75,16.22,PT,1603332043
Rawson,-43.3,-65.1,56.95,38,31,20.4,AR,1603332044
Departamento de Maldonado,-34.67,-54.92,57.99,76,90,21.92,UY,1603332044
Tūkrah,32.53,20.58,65.26,63,7,3.85,LY,1603332045
Valparaíso,-33.04,-71.63,50.0,100,40,2.24,CL,1603332045
Saint Anthony,45.02,-93.22,35.01,74,90,0.45,US,1603332045
La Palma,33.85,-118.05,69.8,68,1,6.93,US,1603332046
Darnah,32.77,22.64,68.72,65,5,12.86,LY,1603332046
Port-Cartier,50.03,-66.87,37.0,100,90,14.99,CA,1603332047
Zmeinogorsk,51.16,82.19,45.57,54,99,15.79,RU,1603332047
La Macarena,2.18,-73.78,72.61,97,100,0.87,CO,1603332048
Tamandaré,-8.76,-35.1,76.59,86,36,8.59,BR,1603332009
Shubarshi,48.59,57.19,35.06,83,100,9.46,KZ,1603332048
Lakhdenpokh'ya,61.52,30.2,37.0,91,100,14.27,RU,1603332048
Laas,46.62,10.7,51.01,100,5,3.87,IT,1603332049
Glens Falls,43.31,-73.64,64.4,88,75,8.05,US,1603332000
Zabid,14.2,43.32,84.9,62,16,2.73,YE,1603332049
Thompson,55.74,-97.86,24.8,92,90,3.36,CA,1603332032
Ziarat,30.38,67.73,43.75,41,0,6.31,PK,1603332050
Tocopilla,-22.09,-70.2,61.93,63,39,5.7,CL,1603331959
Bosaso,11.28,49.18,79.29,63,44,4.12,SO,1603332050
Sørland,67.67,12.69,37.72,76,89,11.9,NO,1603332051
Novo Aripuanã,-5.12,-60.38,72.25,93,100,2.75,BR,1603332051
Saint-Ambroise,48.55,-71.33,39.2,93,90,8.34,CA,1603332052
Hals,57.0,10.31,54.0,97,100,5.01,DK,1603332052
Damaturu,11.75,11.96,79.81,16,0,6.53,NG,1603332052
Saryagash,41.45,69.17,55.4,47,20,6.93,KZ,1603331525
Ternovka,51.68,41.64,36.66,88,100,7.67,RU,1603332074
Gilgit,35.92,74.31,56.86,31,0,4.83,PK,1603332095
Caravelas,-17.71,-39.25,74.43,86,98,4.41,BR,1603332095
Mongua,5.75,-72.8,45.86,96,75,3.49,CO,1603332096
Luanda,-8.84,13.23,77.0,78,75,5.82,AO,1603332096
Bud,39.45,-86.18,57.99,93,75,6.22,US,1603331951
Saint-Augustin,51.23,-58.65,36.88,86,100,10.47,CA,1603332096
Porosozero,62.72,32.73,29.59,97,100,9.04,RU,1603332097
Loralai,30.37,68.6,52.77,31,0,5.08,PK,1603332097
Ivanava,52.15,25.54,47.37,78,100,10.0,BY,1603332097
Bubaque,11.28,-15.83,81.84,83,100,8.9,GW,1603332098
Gobabis,-22.45,18.97,71.02,21,17,18.43,NA,1603332098
Hofn,64.25,-15.21,35.8,82,52,8.68,IS,1603332119
Miraflores,19.22,-98.81,68.0,34,40,13.87,MX,1603332120
Opuwo,-18.06,13.84,55.15,71,0,1.41,NA,1603332120
Najrān,17.49,44.13,62.6,21,100,4.7,SA,1603332120
Harar,9.31,42.13,55.72,40,0,3.13,ET,1603332121
Quatre Cocos,-20.21,57.76,73.4,78,40,10.29,MU,1603332121
Ocala,29.19,-82.14,75.2,94,40,4.7,US,1603331999
Vestmannaeyjar,63.44,-20.27,41.77,89,100,28.03,IS,1603332122
Pisco,-13.7,-76.22,63.0,82,0,17.22,PE,1603332122
Resistencia,-27.46,-58.98,84.2,58,6,10.29,AR,1603332122
Timizart,36.8,4.27,64.4,44,100,9.17,DZ,1603332122
Northallerton,54.34,-1.43,51.8,81,77,12.75,GB,1603332123
Salalah,17.02,54.09,77.0,78,40,3.36,OM,1603332035
Gao,16.64,1.64,86.13,13,0,7.52,ML,1603332108
Yining,29.04,114.56,68.31,55,0,2.62,CN,1603332123
Salihorsk,52.79,27.54,47.43,88,100,8.9,BY,1603332123
Coquimbo,-29.95,-71.34,53.6,87,0,6.93,CL,1603331898
Taltal,-25.4,-70.48,57.33,76,12,4.25,CL,1603332020
Snezhnogorsk,69.19,33.25,15.8,92,90,4.14,RU,1603332145
Saint-Marc,19.11,-72.69,80.24,71,98,2.59,HT,1603332145
Port-Gentil,-0.72,8.78,78.13,86,91,11.34,GA,1603331978
Ikongo,-21.88,47.43,64.94,79,67,1.72,MG,1603332146
Vila Praia de Âncora,41.81,-8.85,55.0,100,75,6.93,PT,1603332146
Kodino,63.72,39.64,24.96,98,29,3.4,RU,1603332147
Kasangulu,-4.59,15.17,70.68,94,100,2.04,CD,1603332147
Altos del Rosario,8.79,-74.17,76.35,97,85,2.15,CO,1603332147
Grand-Santi,4.25,-54.38,73.71,95,98,3.91,GF,1603332147
Pemba,-12.97,40.52,75.18,86,33,8.55,MZ,1603332147
Pointe Michel,15.25,-61.38,81.09,77,46,9.91,DM,1603332148
Cherkasskoye,52.43,47.22,29.26,94,50,4.85,RU,1603332148
Murmashi,68.82,32.81,15.8,92,90,2.64,RU,1603332169
Sidi Ali,36.1,0.42,67.06,71,100,6.17,DZ,1603332169
Agirish,61.92,63.02,26.51,98,100,5.3,RU,1603332191
Ratnagiri,16.98,73.3,78.1,85,0,4.7,IN,1603332191
Hamilton,39.18,-84.53,63.0,93,90,2.89,US,1603332004
Santa Maria,-29.68,-53.81,67.23,79,70,14.72,BR,1603332191
Tazovsky,67.47,78.7,15.04,97,86,11.07,RU,1603332192
Andenes,69.31,16.12,35.6,69,83,13.87,NO,1603332192
Barcelona,41.39,2.16,66.99,88,20,5.82,ES,1603332009
Usinsk,65.99,57.53,19.78,96,2,10.0,RU,1603332213
Aksarka,66.56,67.8,18.05,97,99,13.73,RU,1603332214
Alto Araguaia,-17.31,-53.22,72.93,68,10,3.31,BR,1603332214
Porto-Novo,6.5,2.6,77.45,90,2,3.62,BJ,1603332214
Salinópolis,-0.61,-47.36,80.24,78,67,12.59,BR,1603332214
Jalu,29.03,21.55,61.0,62,0,7.96,LY,1603332215
Havelock,34.88,-76.9,71.01,88,1,4.7,US,1603332215
Okakarara,-20.58,17.43,62.1,37,8,3.87,NA,1603332215
Takoradze,4.88,-1.76,76.66,92,58,7.31,GH,1603332215
Kishtwār,33.32,75.77,51.31,45,0,2.89,IN,1603332215
Albany,42.6,-73.97,66.0,83,100,2.95,US,1603332216
Santa Catalina,9.33,122.86,89.6,59,40,11.41,PH,1603332216
Saint-François,46.42,3.91,63.0,67,95,4.7,FR,1603332216
Pokhara,28.23,83.98,70.09,39,0,2.08,NP,1603332105
Borba,-4.39,-59.59,72.97,97,100,3.89,BR,1603332216
Murgab,37.5,61.97,51.8,57,75,9.17,TM,1603332217
Konëvo,62.12,39.32,31.68,95,100,2.42,RU,1603332217
Vredendal,-31.67,18.5,60.75,33,0,1.97,ZA,1603332217
Sainte-Maxime,43.3,6.63,64.4,77,20,11.41,FR,1603332217
Dabola,10.75,-11.12,71.19,83,98,2.04,GN,1603332218
Itigi,-5.7,34.48,63.41,74,100,6.42,TZ,1603332218
Ondjiva,-17.07,15.73,62.76,40,3,4.23,AO,1603332218
Soyo,-6.13,12.37,77.09,83,100,8.3,AO,1603332218
Iralaya,15.0,-83.23,80.15,85,89,9.24,HN,1603332219
Gacko,43.17,18.54,39.2,93,66,2.24,BA,1603332219
Iqaluit,63.75,-68.51,32.0,93,90,8.05,CA,1603332050
Povenets,62.85,34.83,34.21,88,100,9.17,RU,1603332219
Elliot,-31.33,27.85,54.25,70,0,4.85,ZA,1603332219
Fairhope,30.52,-87.9,77.0,83,1,3.36,US,1603332220
Tsimmerbude,54.67,20.13,51.8,87,60,13.42,RU,1603332220
Waddān,29.16,16.14,60.06,70,0,9.84,LY,1603332220
Corner Brook,48.97,-57.95,50.0,93,90,10.29,CA,1603332220
Mindelo,16.89,-24.98,78.8,78,40,25.28,CV,1603332221
Palma di Montechiaro,37.19,13.77,59.0,84,51,4.29,IT,1603332221
Diré,12.28,-10.97,74.39,67,100,1.77,ML,1603332221
Zhizdra,53.75,34.74,41.7,96,100,3.83,RU,1603332221
İslahiye,37.02,36.63,73.0,54,0,5.82,TR,1603332221
Kachīry,53.07,76.1,40.78,69,100,18.14,KZ,1603332222
Karpathos,35.51,27.21,64.4,82,10,8.05,GR,1603332222
Torit,4.41,32.57,70.65,87,56,2.04,SS,1603332222
Leamington,42.05,-82.61,51.01,87,1,3.36,CA,1603332222
Saint Lawrence,36.06,14.2,63.0,82,59,2.24,MT,1603332223
Bonthe,7.53,-12.51,77.56,86,100,3.44,SL,1603332223
Camocim,-2.9,-40.84,78.24,84,5,11.86,BR,1603332223
Dzaoudzi,-12.79,45.27,78.8,83,75,11.41,YT,1603332244
Hashtrūd,37.48,47.05,45.39,84,3,1.95,IR,1603332244
Novoutkinsk,56.99,59.56,27.54,96,100,10.04,RU,1603332245
Kerugoya,-0.5,37.28,60.62,88,98,0.98,KE,1603332245
Mlimba,-8.8,35.82,73.0,64,100,3.76,TZ,1603332245
Arrondissement de Sens,48.17,3.33,57.0,91,100,1.01,FR,1603332245
Atbasar,51.8,68.33,37.24,77,100,10.54,KZ,1603332246
Lukuledi,-10.57,38.8,70.74,81,60,0.11,TZ,1603332246
Carauari,-4.88,-66.9,75.16,89,16,1.9,BR,1603332267
Nara,34.69,135.8,71.01,64,75,5.82,JP,1603332245
Bezhetsk,57.79,36.7,35.55,95,100,5.39,RU,1603332268
Les Cayes,18.2,-73.75,78.49,81,100,4.12,HT,1603332268
Port Blair,11.67,92.75,82.13,82,84,11.97,IN,1603332268
